ref:mise,fuel:diesel,fuel:octane_101,fuel:octane_100,fuel:octane_98,fuel:octane_95,fuel:cng,fuel:lpg,operator,brand,lat,lon
30415,yes,,,,yes,,,Branco Carlo,Tamoil,43.19654,13.66916
25622,yes,,,,yes,yes,,Simonetti Mario S.R.L.,Simonetti Petroli,43.18375,13.68379
38046,yes,,,,yes,yes,yes,Gedoil S.R.L.,D Amico,43.04136,13.63873
45238,,,,,,,,Nardi Giuseppe Angelo,Api-Ip,43.12085,13.48764
12898,yes,,,,yes,,,Barchetti Graziano & C. S.N.C.,Api-Ip,42.94615,13.34358
30441,yes,,,,yes,,,Immobiliare 2r S.R.L.,,43.1083,13.55326
44372,,,,,,,,Tamanti Giuliano,Api-Ip,43.13853,13.53621
14841,yes,,,,yes,,,Capezzani Antonio,Api-Ip,43.11467,13.56547
43764,yes,,,,yes,yes,yes,Vitali Mauro,,43.11967,13.57584
31732,yes,,,,yes,,,Petrol Picena S.R.L.,PetrolPicena,43.11374,13.56404
25623,yes,,,,yes,yes,yes,Simonetti Mario S.R.L.,Simonetti Petroli,43.10297,13.5271
26410,yes,,yes,,yes,,,Rocchi Sandro,Agip Eni,43.1209,13.57906
19421,,,,,,yes,,Vitali Mauro,Agip Eni,43.10392,13.51588
28228,yes,,,,yes,,yes,Top Service di Trentanni Patrizio e C. S.N.C.,Beyfin,43.22311,13.6341
27834,yes,,,,yes,,,F.Lli Tamburrini & C. S.N.C.,Agip Eni,43.23408,13.64185
28000,yes,,,,yes,,,Petrol Picena S.R.L.,PetrolPicena,43.23782,13.64528
7938,yes,,,,yes,,,Sabina Carburanti di Rossini Sabina & C. S.N.C.,Agip Eni,43.23243,13.62921
10951,yes,,,,yes,,,Immobiliare G - S.R.L.,Tamoil,43.24331,13.64727
28560,yes,,,,yes,,,Alesi Enrico,,43.08816,13.71562
21695,yes,,,,yes,,,Aleanzi Ernesta,Api-Ip,43.06198,13.58772
32570,yes,,,,yes,,yes,Ip Services S.R.L.,Api-Ip,43.07195,13.75266
38112,yes,,yes,,yes,,,Vincenzi Fausto,Agip Eni,43.09696,13.84181
21107,yes,,,,yes,,,Giammarini Federico,Api-Ip,43.09938,13.83848
21325,yes,,,,yes,,,Visi Giacomo,Q8,43.09633,13.83544
12740,,,,,,,,Eurofox di Roberti Giancarlo,,43.0681,13.65783
27774,,,,,,,,Api Valmir di Cefola Mauro e C. S.A.S.,Api-Ip,43.04857,13.68126
23064,yes,,,,yes,,,Co.Del.Co. di Del Moro Gabriele & C. S.N.C.Rifornimento Ip,Agip Eni,43.16755,13.79904
8019,,,,,,,,Esso Nord S.N.C. di Marziali Antonello e Belletti Flavio,Esso,43.18486,13.79136
45580,yes,,,,yes,,,Stazione di Servizio Esso Service di Marziali Antonello,Esso,43.18486,13.79138
22566,yes,,,,yes,,yes,Essosud di Censi Maurizio & C. S.N.C.,Esso,43.17451,13.79577
47280,yes,,,,yes,,,Global Mouving S.R.L.Semplificata,Api-Ip,43.19475,13.78732
22795,,,,,,,,Marina di Porto San Giorgio S.P.A.,Api-Ip,43.1671,13.81197
34331,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,43.17237,13.79724
24595,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,43.19474,13.78731
29689,yes,,,,yes,,,Eni Fuel S.P.A.,Agip Eni,43.2856,13.74085
7881,yes,,,,yes,,,Cicchine' Fabrizio & C. S.N.C.,Agip Eni,43.26479,13.75488
42469,yes,,,,yes,,,Petrolifera Adriatica S.P.A.,Esso,43.24995,13.74586
5726,yes,,,,yes,,yes,Strovegli Gino,Api-Ip,43.27194,13.74984
19799,yes,,,,yes,,,Scarafiocca Germano & C. - S.N.C.,Api-Ip,43.27775,13.74558
5021,,,,,,,,Pan Petroli S.R.L.,Agip Eni,43.23675,13.76998
23673,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,43.24681,13.76469
10150,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,43.24998,13.76324
19441,,,,,,yes,,Zucconi Luciano & Giandomenico Giovanni - S.N.C.,,43.24565,13.75897
6145,yes,,,,yes,yes,,Delta Oil S.R.L.,,43.28952,13.73469
5206,,,,,,yes,,Metano Senigallia S.R.L.,Agip Eni,43.14123,13.6124
18051,,,,,,,,Antinori Rossana & C.- Soc.In Nome Collettivo,Total Erg,43.16076,13.59046
19121,yes,,,,yes,,yes,Coro S.R.L.,Api-Ip,43.25944,13.69169
27914,yes,,,,yes,yes,yes,Bfpt S.A.S. di Biancucci Gianni & C.,Beyfin,43.24201,13.69354
43570,yes,,,,yes,,yes,Ip Services S.R.L.,Api-Ip,43.2863,13.72299
39719,yes,,,,yes,,yes,Chienti S.R.L.,Sarni Oil,43.28559,13.72259
21844,yes,,,,yes,,,Ciccale' S.R.L.,,43.28036,13.72813
4536,yes,,,,yes,yes,yes,Metanauto Giulianova S.R.L.,,43.20315,13.70925
11970,yes,,,,yes,,,Mattiozzi Sergio,,43.22193,13.73227
43436,,,,,,,,Nicki Carburanti S.R.L.,,43.23357,13.70854
39422,,,,,,,,Nicki Carburanti S.R.L.,,43.2724,13.72015
37820,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,43.2363,13.66638
20248,yes,,yes,,yes,,yes,Servizi & Gestioni Italia S.R.L.,Q8,43.27216,13.6569
40324,yes,,,,yes,,yes,Società Italiana Gas Liquidi S.P.A.,Esso,43.26764,13.6659
28836,yes,,,,yes,,,Penta Petroli S.R.L.,,43.0235,13.4957
33615,yes,,,,yes,,,Viozzi Paolo,,42.99196,13.50419
13199,yes,,,,yes,,,Luciani Marco,Total Erg,43.08236,13.49276
36495,yes,,,,yes,,,Petrol Picena S.R.L.,PetrolPicena,43.17234,13.62193
36326,yes,,,,yes,yes,,Stazione di Servizio Monti Nando,Agip Eni,41.77676,13.20958
24665,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.67769,13.34911
27327,,,,,,,,Spadorcia S.N.C. di Spadorcia Giovanni e Laura,Esso,41.71825,13.34927
9260,,,,,,,,Buccitti Romano,Api-Ip,41.72797,13.34296
41341,yes,,yes,,yes,,yes,Aletrium Servizi S.R.L.,Agip Eni,41.73825,13.33637
39811,yes,,yes,,yes,,yes,Valeriani Lucio,Agip Eni,41.66953,13.32239
43336,yes,,,,yes,,,Ditta Eredi Romano Buccitti di Buccitti Diego,,41.728,13.34285
9321,yes,,,,yes,,,F.Lli Maggi Pneumatici di Maggi Alfio e Silvano S.N.C.,,41.76104,13.32139
44478,yes,,,,yes,,,Marini Servizi S.R.L.,Api-Ip,41.69216,13.35187
41938,,,,,,yes,,New Energy S.R.L.,New Energy,41.65974,13.31305
10601,,,,,,,,Papetti Antonio,Q8,41.6931,13.35165
8577,,,,,,,,Pitocco Enrico,Api-Ip,41.6922,13.35189
4303,yes,,,,yes,,,Picanoil S.A.S. di Pica Maurizio & C.,7sette,41.69162,13.34035
36315,,,,,,,,Santucci S.A.S. di Santucci Francesca & C.,Total Erg,41.67015,13.32208
29529,yes,,,,yes,,,Al-gedi S.R.L.,7sette,41.68926,13.74606
45258,yes,,,,yes,,,T.D.M. S.R.L.,Tamoil,41.46968,13.33401
19173,,,,,,,,Lungarini Alberto,Tamoil,41.46969,13.33401
40728,yes,,,,yes,,,Car Wash di Lolli Antonio,Total Erg,41.47489,13.33322
42896,yes,,yes,,yes,,,Del Monte Mirco,Agip Eni,41.72964,13.13758
27673,,,,,,,,Di Palma Antonella e Savo Sardaro Lorenzo S.N.C.,Api-Ip,41.72884,13.14323
42966,yes,,,,yes,,,Penta Petroli S.R.L.,,41.74549,13.12096
6677,yes,,yes,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.75194,13.12846
11596,yes,,yes,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.71039,13.14504
36117,yes,,,,yes,,,Area di Servizio Biondi Antonio & C. - S.A.S.,Esso,41.73679,13.11782
36104,yes,,,,yes,,,Car Pro Service di Pro Giampiero,,41.73607,13.18301
28172,,,,,,,yes,Croster di Crosta Angelo e C. - S.N.C.,,41.72128,13.18777
27971,,,,,,,,Lisi Daniele,Agip Eni,41.72965,13.13749
27838,yes,,yes,,yes,,,Zangrilli Gianni,Agip Eni,41.73058,13.11526
36081,,,,,,yes,,Goldengas - Società Per Azioni,,41.71989,13.19985
29383,yes,,,,yes,,yes,Nuova Sidap S.R.L.,Q8,41.68687,13.18784
3748,yes,,,,yes,,yes,Area di Servizio Biondi Antonio & C. S.N.C.,Esso,41.68512,13.18862
39562,yes,,,,yes,,yes,Ge.Ca S.N.C.di Quistini Michele e Marcoccia Maurizio,Repsol,41.72636,13.15035
20486,yes,,,,yes,,,Saurini Andrea,Api-Ip,41.74342,13.15552
41547,yes,,,,yes,,,Penta Petroli S.R.L.,,41.4977,13.72992
44239,,,,,,,,Fiamma Petroli S.R.L. a S.U.,,41.48862,13.7112
47408,yes,,,,yes,,,Impianto 7sette di Oreste Gerardi,7sette,41.494,13.70115
16150,yes,,,,yes,,,Moretti Giuseppe,Repsol,41.50788,13.70603
43797,yes,,,,yes,,,Life Car 2003 di Cervini Antonio,,41.59684,13.55426
45746,yes,,,,yes,,,Mazzamati Carburanti S.A.S. di Marrocco Esterina e C.,,41.58496,13.57419
6676,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.58025,13.56245
36149,,,,,,,,In.Ca. Società a Responsabilità Limitata Semplificata,Agip Eni,41.58824,13.56164
46823,yes,,,,yes,,,Easy Service S.R.L.,Esso,41.58047,13.58548
9249,,,,,,,,Raponi Antonio,Total Erg,41.58436,13.57595
26322,,,,,,,,Gabriele Diego,,41.64699,13.56284
33940,,,,,,,,Di Folco Giuseppe,Q8,41.64037,13.60885
20413,,,,,,,,C.S.I. Caira Servizi Integrati S.R.L.,Esso,41.61494,13.79418
11375,,,,,,,,Bastianelli Fabio,,41.62689,13.79242
14766,yes,,,,yes,,,Morelli Dino,,41.64023,13.76824
35522,,,,,,,,Enerway S.R.L.,,41.62649,13.79277
36299,yes,,,,yes,,yes,Marciello Armando,Agip Eni,41.33627,13.75371
36417,,,,,,,,Pampena Alessandro,Api-Ip,41.32722,13.74705
44173,yes,,,,yes,,,F.Lli Perciballi & C. S.A.S. di Perciballi Rocco e Carlo,Api-Ip,41.65602,13.44313
45652,yes,,,,yes,,,Autoservice Lozza S.A.S. di Lozza Fabio & C.,Repsol,41.63444,13.44501
7087,yes,,,,yes,,,De Paulis Massimo,Repsol,41.66154,13.46152
35969,yes,,yes,,yes,,,Di Cocco Luigi Michele,Agip Eni,41.70159,13.64395
8889,,,,,,,,Società Italiana Carburanti e Affini - S.R.L. - S.I.C.A.,Api-Ip,41.69969,13.64812
44135,,,,,,,,Di Benedetto S.A.S. di Di Benedetto Franco & C.,,41.74141,13.69654
42659,yes,,,,yes,,,Arche' S.R.L.,,41.64498,13.74708
36448,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,41.48738,13.84811
24233,yes,,,,yes,,,Tiber Oil S.R.L.,Agip Eni,41.50769,13.83442
34525,yes,,,,yes,,,Arche' S.R.L.,,41.48011,13.80976
46946,yes,,,,yes,,yes,Arche' S.R.L.,,41.48563,13.85509
6679,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.48181,13.80136
37770,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.46385,13.79712
20626,yes,,,,yes,,,De Siena Dario,Api-Ip,41.44342,13.83382
31698,yes,,,,yes,,,Gestimpia S.R.L.,Agip Eni,41.48928,13.82543
31697,yes,,,,yes,,,Gestimpia S.R.L.,Agip Eni,41.48564,13.83629
37297,yes,,,,yes,,yes,President S.R.L.,Esso,41.51266,13.84371
40076,yes,,,,yes,,,Easy Service S.R.L.,Esso,41.49066,13.83609
40077,yes,,,,yes,,,Easy Service S.R.L.,Esso,41.4863,13.85195
31704,,,,,,,,Velocitta' di De Simone Stefania,Italia Carburanti,41.49123,13.83155
42131,yes,,,,yes,,,Lan.Des S.R.L.,,41.49122,13.83155
36194,,,,,,yes,,Metanservice S.R.L.,,41.46448,13.78512
31736,yes,,,,yes,,,Starnino Giuseppe,Petrol Gamma,41.4553,13.83118
36195,,,,,,,,D'Annunzio Luigi,,41.49079,13.83621
21073,yes,,yes,,yes,,yes,Marrocco Angelo,Agip Eni,41.48883,13.84439
38722,,,,,,,,Stelor Società a Responsabilità Limitata Semplificata,Q8,41.67912,13.52609
32869,,,,,,,,Stazione di Servizio di Perfili Tonino,Agip Eni,41.50823,13.39329
19779,yes,,,,yes,,,Fratelli Tellina e Migliori S.R.L.,,41.51566,13.40482
36932,yes,,,yes,yes,,yes,F.Lli Morsilli S.R.L.,Api-Ip,41.49768,13.68341
3719,yes,,yes,,yes,,,Polsinelli Antonio e Elio S.N.C.,Agip Eni,41.4962,13.68455
36075,,,,,,,,Eredi di Murro Salvatore S.A.S.Di di Murro Rodolfo e C.,Agip Eni,41.5122,13.69755
46257,yes,,,,yes,,yes,Area di Servizio Ge.Im. di Gizzi Fabrizio,Repsol,41.51425,13.69193
8589,yes,,yes,,yes,,yes,Mallozzi Santamaria Teresa,Agip Eni,41.49393,13.67794
15016,yes,,,,yes,,,F.Lli Carcasole S.N.C. di Carcasole Lorenzo e Pietro,,41.56723,13.33342
40837,yes,,,,yes,,,Penta Petroli S.R.L.,,41.56783,13.33673
34452,yes,,,,yes,,,Arche' S.R.L.,,41.56365,13.3384
46891,yes,,,,yes,,,Penta Petroli S.R.L.,,41.56861,13.31916
40787,yes,,,,yes,,,Cipriani S.N.C.di Ermanno Cipriani & C.,Total Erg,41.58794,13.30424
36017,yes,,yes,,yes,,yes,Bucciarelli Roberto,Agip Eni,41.6014,13.33747
26406,,,,,,,,Maiuri Silvia,Esso,41.56862,13.31914
27955,yes,,,,yes,,,Al-gedi S.R.L.,Esso,41.57273,13.33798
16917,yes,,,,yes,,,Folcarelli Eric,Tamoil,41.57525,13.33019
17049,yes,,,,yes,,,Carcasole Mario,Tamoil,41.56187,13.35157
34005,yes,,yes,,yes,,,Impero Michele,Agip Eni,41.55077,13.50559
46256,yes,,,,yes,,yes,Area di Servizio Ge.Im. di Gizzi Fabrizio,Repsol,41.53999,13.4925
36704,yes,,,,yes,,,Petrol Society- Societa a Responsabilita Limitata,MyOil,41.55661,13.52667
44938,,,,,,,,Petrolmed S.R.L.,,41.55442,13.49107
44466,yes,,,,yes,,,Germani Assunta &. C. S.A.S.,,41.54999,13.52219
15667,,,,,,,,Stellato Carburanti S.A.S. di Stellato Maurizio,Api-Ip,41.54712,13.51262
31432,,,,,,,,De Rosa Antonio,Total Erg,41.46707,13.88335
44305,yes,,,,yes,,,Bianchi Giovanni Marco,,41.48423,13.90216
47064,yes,,,,yes,,,Sacco Francesco,Italia Carburanti,41.48265,13.89318
37053,,,,,,,,Immobiliare Agef S.R.L.,,41.34562,13.77608
46953,,,,,,,,Agef Carburanti S.R.L.,,41.42494,13.68532
46645,yes,,,,yes,,,Gavi di Vizzaccaro Costanzo e C. - S.A.S.,Tamoil,41.3829,13.68795
14010,yes,,,,yes,,,Corelli Pino,Total Erg,41.4025,13.70918
6796,yes,,,,yes,,yes,Marcoccia Fabrizio,Agip Eni,41.66741,13.3043
21535,yes,,yes,,yes,,,Arduini Daniele,Agip Eni,41.67504,13.28746
47039,yes,,,,yes,,yes,Alma Services Società Cooperativa,Agip Eni,41.65143,13.25153
36066,yes,,yes,,yes,,,Enizangrilli di Zangrilli Mauro S.N.C.,Agip Eni,41.69799,13.23102
31494,yes,,,,yes,,,Impero Michele,Api-Ip,41.7142,13.21034
12205,yes,,,,yes,,,Impero Michele,Api-Ip,41.69541,13.25603
47058,,,,,,,,Mizzoni Fiorella,Q8,41.65999,13.26747
24007,yes,,,,yes,,yes,Grillo Umberto,Repsol,41.64032,13.25741
34935,yes,,,,yes,,yes,Al-gedi S.R.L.,Total Erg,41.65937,13.26749
39447,,,,,,,,F. & A. Service S.R.L.,Api-Ip,41.78962,13.22361
45929,yes,,,,yes,,,Arche' S.R.L.,,41.79658,13.22159
28128,,,,,,,,Ge.Ca S.N.C.di Quistini Michele e Marcoccia Maurizio,Repsol,41.7819,13.23231
8820,yes,,yes,,yes,,,Stazione di Servizio Perinelli David e C. S.N.C.,Agip Eni,41.78464,13.23088
42975,yes,,,,yes,,,Gestione Carburanti - Società in Accomandita Semplice di Marcell O Grassetti,,41.80417,13.22349
38620,yes,,,,yes,,yes,Easy Service S.R.L.,Energas,41.68608,13.67214
23933,yes,,,,yes,,,Al-gedi S.R.L.,Agip Eni,41.63984,13.3406
26857,yes,,,,yes,,,Eni Fuel S.P.A.,Agip Eni,41.63179,13.35959
18182,yes,,,,yes,,,Al-gedi S.R.L.,Agip Eni,41.6411,13.33208
30470,yes,,,,yes,,,T.D.M. S.R.L.,Tamoil,41.62903,13.37092
7352,yes,,yes,,yes,,,Ad Service Di Alfredo D'Ascenzi,Agip Eni,41.63799,13.31863
31583,,,,,,,,Angiolini Erika & C. S.A.S.,Esso,41.64862,13.34135
36879,,,,,,,,M. & M. Service di Fratarcangeli Mauro e C. S.N.C. in sigla M. & M. Service S.N.C.,Q8,41.62415,13.32191
33005,,,,,,yes,,Turriziani Diffusion - S.R.L. (siglabile T.D. - S.R.L.),,41.62397,13.32168
43049,yes,,,,yes,,,Easy Service S.R.L.,Esso,41.64867,13.34137
43484,yes,,,,yes,,,Easy Service S.R.L.,Esso,41.63311,13.33591
20762,yes,,yes,,yes,yes,,Valeriani Lucio,Agip Eni,41.62123,13.28284
40038,,,,,,,,Agp - Società a Responsabilità Limitata,Agip Eni,41.65159,13.34378
15544,yes,,,,yes,,yes,Valeriani Lucio,Agip Eni,41.60996,13.3437
45510,yes,,,,yes,,,Pandozzi Antonino,Agip Eni,41.64782,13.34319
24185,yes,,,,yes,,,Tiber S.R.L.,Total Erg,41.62932,13.32767
10120,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,41.64768,13.34469
28313,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,41.64831,13.33717
35438,yes,,,,yes,,,Arche' S.R.L.,,41.6442,13.33345
6681,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.6521,13.34035
8643,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.63338,13.35137
23763,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.641,13.3101
29662,,,,,,,,Fulgorgas Sud S.R.L.,FulgorOil,41.64133,13.30654
46545,,,,,,,,Di Mauro Michela,Agip Eni,41.613,13.30354
28809,,,,,,,,Morea Simone,Esso,41.63312,13.33588
40441,yes,,,,yes,,yes,New Energy S.R.L.,New Energy,41.65874,13.34409
7831,yes,,,,yes,,,Distrubutore Carburante F.Lli Fiorini S.N.C.,,41.65041,13.35238
47445,yes,,,,yes,,,Turriziani Diffusion - S.R.L. (siglabile T.D. - S.R.L.),Repsol,41.65789,13.35349
31238,yes,,,,yes,,,Turriziani Diffusion - S.R.L. (siglabile T.D. - S.R.L.),Repsol,41.64006,13.33822
47440,yes,,,,yes,,,Turriziani Diffusion - S.R.L. (siglabile T.D. - S.R.L.),Repsol,41.63773,13.34986
45647,,,,,,,,Talaukdar Ratul,Repsol,41.63773,13.34984
15565,,,,,,,,Zolli Benedetto,,41.63767,13.34975
7419,yes,,yes,,yes,,,Santopadre Tiziana,Agip Eni,41.64702,13.34927
45666,yes,,,,yes,,,Cipriani David,7sette,41.62896,13.34014
39163,yes,,,,yes,,,Carburanti Monti Lepini di Frati Elisa e Urlira Antonio & C. S.N.C.,7sette,41.64721,13.33618
38652,yes,,,,yes,,,Corsi Carburanti S.R.L.,Api-Ip,41.63605,13.3398
45059,,,,,,,,Conchiglia Adriano,Repsol,41.65038,13.3362
34121,yes,,,,yes,,,Turriziani Diffusion - S.R.L. (siglabile T.D. - S.R.L.),,41.61072,13.34049
24559,,,,,,,,Società Italiana Carburanti e Affini - S.R.L. - S.I.C.A.,,41.64812,13.34765
45350,,,,,,,,Tiburtina S.A.S. di Mastrantoni Alessandra,Agip Eni,41.65158,13.34378
43382,yes,,yes,,yes,,yes,Bevilacqua Silvio S.R.L.,,41.64292,13.33148
46252,,,,,,,,Talaukdar Ratul,Repsol,41.65789,13.35348
29663,,,,,,,,Fulgorgas Sud S.R.L.,FulgorOil,41.72301,13.29599
40227,,,,,,,,Distributore Eredi Iacobone S.A.S. di Iacobone Norma,Tamoil,41.67869,13.81674
41418,yes,,,,yes,,,Arche' S.R.L.,,41.54273,13.27887
31848,yes,,,,yes,,,Carburanti Monti Lepini di Frati Elisa e Urlira Antonio & C. S.N.C.,7sette,41.55105,13.26773
47516,yes,,,,yes,,,Synergy S.R.L.,,41.78787,13.31232
45280,,,,,,,,So.Ge.Ca. S.Orfeto S.R.L.,,41.77996,13.31664
42823,yes,,,,yes,,,Arche' S.R.L.,,41.67693,13.57184
46247,yes,,yes,,yes,,,B.M.T S.A.S.di Bisceglia Michele & C.,Agip Eni,41.67639,13.56759
20222,yes,,,,yes,,,Bruno Pierpaolo,Esso,41.67693,13.57185
8534,yes,,,,yes,,,Doto Nicolantonio,Agip Eni,41.68171,13.57635
46003,,,,,,,,Fabrizi Giuseppe,Esso,41.68025,13.56469
6678,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.67903,13.55845
32640,yes,,,,yes,,,Liri Carburanti di Cestra Alessandro e C. S.A.S.,Tamoil,41.68877,13.60497
40442,yes,,,,yes,yes,yes,New Energy S.R.L.,New Energy,41.6791,13.55727
36147,yes,,,,yes,,,Fratelli Cerrone -s.R.L.,,41.69145,13.57989
41289,yes,,,,yes,,yes,Coratti Monica,Total Erg,41.63496,13.53527
40855,yes,,,,yes,,,Penta Petroli S.R.L.,,41.64093,13.51162
44355,,,,,,,,G Fuel di Graziani Andrea,,41.63618,13.54891
45318,,,,,,,,La Pineta Società Cooperativa,,41.6546,13.51171
45759,yes,,,,yes,,,La Pineta Società Cooperativa,,41.6546,13.51171
27873,,,,,,,,Cinelli Anna,Repsol,41.62161,13.50664
41645,yes,,,,yes,,,Visca Giampaolo,Repsol,41.61283,13.53713
9808,yes,,,,yes,,,Bufalini Antonio,Esso,41.64813,13.21662
16555,,,,,,,,Schiavi Claudio,Agip Eni,41.65029,13.21635
38231,,,,,,,,Easy Service S.R.L.,Energas,41.80604,13.06345
7225,yes,,,,yes,,,Fonzi Paolo,Api-Ip,41.80612,13.05385
13224,,,,,,,,Spirito Giuseppe Umberto,Esso,41.80604,13.06344
9339,yes,,,,yes,,,Zianna Katiuscia,Total Erg,41.77632,13.0251
37680,yes,,,,yes,,,Petrol Gamma S.R.L.,Petrol Gamma,41.47047,13.49035
20905,,,,,,,,Paniccia Simone,Agip Eni,41.60948,13.28707
47411,,,,,,,,Stazione di Servizio di Perfili Tonino,Agip Eni,41.60955,13.28717
15533,yes,,,,yes,yes,yes,Gatti Giuseppina,,41.595,13.28516
34097,yes,,,,yes,,yes,Keropetrol S.P.A.,KEROPETROL,41.58996,13.28734
30206,yes,,,,yes,yes,yes,New Energy S.R.L.,New Energy,41.5982,13.29313
8887,,,,,,,,Società Italiana Carburanti e Affini - S.R.L. - S.I.C.A.,Api-Ip,41.61932,13.27487
6680,yes,,,,yes,,,Servizi & Gestioni Italia S.R.L.,Q8,41.45315,13.55949
42822,yes,,,,yes,,,Arche' S.R.L.,,41.49382,13.76068
11974,yes,,,,yes,,,Gavi di Vizzaccaro Costanzo e C. - S.A.S.,Tamoil,41.48354,13.74852
12267,,,,,,,,Emily di Emiliano Salvi S.A.S.,,41.8298,13.12789
43534,yes,,yes,,yes,,yes,Società di Servizi Apollo S.R.L.S.,Agip Eni,41.79081,13.13007
8823,,,,,,,,Cooperativa Nuova Energia,Agip Eni,41.79084,13.13008
21663,yes,,,,yes,,yes,Toil S.P.A.,Toil,41.79601,13.14507
42726,,,,,,,,Carburanti L'impiantino - Società Cooperativa in Forma Abbreviata Carburanti L'impiantino - Soc. Coop.,Repsol,41.43873,13.78759
17029,,,,,,,,Risi Maria,Repsol,41.43878,13.78759
35832,yes,,,,yes,,yes,Toil S.P.A.,Toil,41.44793,13.79623
43590,,,,,,,,Società Italiana Carburanti e Affini - S.R.L. - S.I.C.A.,,41.53949,13.42178
24482,yes,,,,yes,,,Ruota Libera S.N.C. di Garofali Maria Oliva e Garofali Daniela,Esso,41.53419,13.41356
14091,yes,,,,yes,,,Valeriani Francesco,,41.56458,13.41588
26424,yes,,,,yes,,,Gelfusa Fabrizio,Tamoil,41.44426,13.67787
44167,,,,,,,,Nuovi Carburanti di Mandatori Roberto,Agip Eni,41.48185,13.66854
37064,,,,,,,,La Stazione S.R.L. Semplificata,,41.46364,13.67018
4757,,,,,,,,G.F.G. Società a Responsabilità Limitata,Agip Eni,41.44265,13.68095
27343,,,,,,,,Melfini S.R.L.,,41.4725,13.67016
42178,,,,,,,,Self-service Esso di Folcarelli Riccardo,Esso,41.45938,13.66678
43506,yes,,yes,,yes,,,Stazione di Servizio Tiziano Meresi,Agip Eni,41.45185,13.62644
21240,yes,,,,yes,,,Pantano Loreto,,41.69081,13.68173
43541,,,,,,,,Etiope Giorgio,Energas,41.59057,13.41591
46378,yes,,,,yes,,yes,Energas di Etiope Christian,Energas,41.59061,13.41593
8536,yes,,,,yes,,,Lunghi Maria Grazia,Repsol,41.61264,13.42408
35437,,,,,,,,Mariani Angelo Carlo,,41.60446,13.42296
35290,,,,,,,,Società Italiana Carburanti e Affini - S.R.L. - S.I.C.A.,,41.57015,13.45489
45600,yes,,,,yes,,,Penta Petroli S.R.L.,,41.60445,13.42296
47077,,,,,,,,Dfuel S.R.L.,,41.53397,13.65213
4610,yes,,,,yes,yes,yes,Battista S.R.L.,,41.54382,13.65798
40385,yes,,,,yes,,,Penta Petroli S.R.L.,,41.54079,13.63834
39863,yes,,,,yes,,,Stazione di Servizio Tiziano Meresi,7sette,41.53215,13.64657
27097,,,,,,,,Cerrito Biagio,Total Erg,41.54383,13.6326
47004,,,,,,,,Enerway S.R.L.,,41.70671,13.8146
40282,,,,,,,,Leone Davide,,41.70669,13.81463
34911,yes,,yes,,yes,,,Castelli Alessandro,Agip Eni,41.41712,13.77144
31828,,,,,,,,Fulgorgas Sud S.R.L.,FulgorOil,41.40086,13.74354
23284,,,,,,,,Furia Francesco Maria,Total Erg,41.40496,13.76208
24376,,,,,,,,Valente Marco,Agip Eni,41.51673,13.55019
44240,,,,,,,,Fiamma Petroli S.R.L. a S.U.,,41.49366,13.55761
8780,yes,,yes,,yes,,,Mascio Franco,Agip Eni,41.44467,13.91494
45869,,,,,,,,Saroli S.N.C. di Saroli Maria Vittoria e C.,Api-Ip,41.43532,13.9057
4609,,,,,,,,Over S.R.L.,Agip Eni,41.44515,13.93344
36135,,,,,,,,Beauty Car di Di Nardo Danilo & C. S.A.S.,,41.45051,13.91398
44446,,,,,,,,Starlet di Rubiano Ennio & C S.A.S.in sigla Starlet S.A.S.,Repsol,41.39616,13.84633
45436,yes,,,,yes,,,Penta Petroli S.R.L.,,41.39617,13.84631
37713,,,,,,,,De Siena Anselmo,Q8,41.40495,13.82875
38954,yes,,,,yes,,,Mas.Ian S.N.C. di Iannetta Massimo e Fionda Antonia,Tamoil,41.53772,13.86442
42706,,,,,,,,Otello S.R.L.,,41.60261,13.63307
44003,yes,,,,yes,,yes,As Fuel S.R.L.,,41.83164,13.07653
20103,yes,,,,yes,,,Ip Services S.R.L.,Api-Ip,41.83066,13.07296
42658,yes,,,,yes,,,Arche' S.R.L.,,41.71132,13.56985
37550,yes,,,,yes,,,Servilog S.R.L.,Repsol,41.70571,13.61096
44217,yes,,,,yes,,,Fantauzzi Guido Basilio,Agip Eni,41.70119,13.6113
