{,id,lat,lon,tags{,operator,brand,source:date,},}
,35079,37.31943262667844,13.6609360948205,,Servizi E Gestioni Zenit S.R.L. In Sigla - Zenit S.R.L.,Lukoil,2018-04-12,,
,13225,37.3202812247021,13.663748660226247,,Scariano Benedetta,Sp Energia Siciliana,2018-04-12,,
,17715,37.36124386528102,13.64222601056099,,A.Nuara E Figli Srl,Lukoil,2018-04-12,,
,12786,37.35776540601626,13.556865307730845,,Di Benedetto Carburanti S.R.L.,Api-Ip,2018-04-12,,
,40673,35.500892388423836,12.60155439376831,,Costanzo Carburanti S.R.L.,Pompe Bianche,2018-04-12,,
,39889,35.86357710208189,12.85238653421402,,Nautilus Marine S.R.L.,Pompe Bianche,2018-04-12,,
,24796,35.499555123698265,12.606468389935344,,Petrol Service Lampedusa S.R.L.,Pompe Bianche,2018-04-12,,
,12369,37.11150064654609,13.921595513820648,,Di Benedetto Carburanti S.R.L.,Esso,2018-04-12,,
,27202,37.10264903123856,13.940131775969348,,Alaimo Amedeo Angelo,Esso,2018-04-12,,
,12667,37.10982731810983,13.951735496520996,,Liotta Maria Rosa E Co. S.A.S.,Agip Eni,2018-04-12,,
,20954,37.114686349528775,13.95988404750824,,De Caro Agostino,Esso,2018-04-12,,
,11336,37.10335720101978,13.940623718040115,,Graci Rosario,Giap,2018-04-12,,
,37083,37.12048664134014,13.946745246648788,,Sicilpetroli S.R.L.,Pompe Bianche,2018-04-12,,
,8898,37.59076912509383,13.291043043136597,,Radosta Carburanti Di Filippo Radosta E C.-S.A.S.,Q8,2018-04-12,,
,23779,37.60656371320964,12.958240324792541,,Alfonso Di Benedetto Carburanti Lubrificanti Srl,Esso,2018-04-12,,
,27408,37.59580305899636,12.972823083400726,,Bonfante Antonino,Agip Eni,2018-04-12,,
,25814,37.705916359938364,12.980978339910507,,Petrol Agricoltura  S.R.L.,Esso,2018-04-12,,
,14967,37.70348584273863,12.991232425015368,,Scirotta  S.A.S. Di Accidenti Giuseppe,Q8,2018-04-12,,
,15744,37.305158975136194,13.915430456399918,,Cammarata Renato,Pompe Bianche,2018-04-12,,
,28246,37.29483179725696,13.792228549718857,,Pacinella Calogero,Q8,2018-04-12,,
,12021,37.29438302041931,13.795680592035524,,Servizi E Gestioni Zenit S.R.L. In Sigla - Zenit S.R.L.,Giap,2018-04-12,,
,14343,37.189200084525496,13.771200694422987,,Catania Nicola,Agip Eni,2018-04-12,,
,27393,37.18339976584025,13.768924176692963,,Incardona S.R.L.,Pompe Bianche,2018-04-12,,
,17121,37.28913270117055,13.530381917953491,,Sinagra Paolo,Esso,2018-04-12,,
,33237,37.29374099791888,13.508563233854716,,Nuara Pasquale,Agip Eni,2018-04-12,,
,16610,37.40828114966902,13.704168274998665,,Morreale Vincenzo,Q8,2018-04-12,,
,35504,37.403805581461036,13.738730549812317,,Rizzo Concetta,Q8,2018-04-12,,
,18601,37.41100286863684,13.728470199070216,,Mattina Giuseppe,Tamoil,2018-04-12,,
,10302,37.39378646445569,13.532358705997467,,Angelo Cuffaro S.R.L.,Esso,2018-04-12,,
,10299,37.39707361548874,13.534808903932571,,Cuffaro Angelo,Esso,2018-04-12,,
