{,id,lat,lon,tags{,operator,brand,description,addr:postcode,addr:city,source:date,},}
,34054,45.89625731994383,13.411049097776413,,Zanello Giulio,Agip Eni,Statale 252 Di Palmanova  Km. 37+160  Dir. Gorizia  34076,34076,Romans D'Isonzo,2018-04-09,,
,14823,45.840337485918766,13.493413031101227,,Ricciardi Antonio,Agip Eni,Statale 305 Di Redipuglia  Km. 14+72  Dir. Trieste 34077,34077,Ronchi Dei Legionari,2018-04-09,,
,11607,45.830408397565556,13.500362449073805,,Servizi & Gestioni Italia S.R.L.,Q8,Via Redipuglia 25 34077,34077,Ronchi Dei Legionari,2018-04-09,,
,18967,45.81938705252744,13.476206064224243,,Schiavini Giorgio & Roberto S.N.C.,Total Erg,Statale 14 Della Venezia Giulia  Km. 121  Dir. Trieste 34077,34077,Ronchi Dei Legionari,2018-04-09,,
,25804,45.80845285487364,13.442810475826263,,Area Pieris Di Ponzalli Roberto & Sellan Matteo S.N.C.,Agip Eni,Via Cesare Battisti 24 34075,34075,San Canzian D'Isonzo,2018-04-09,,
,30071,45.934492090220495,13.52586105465889,,Scolaris Vini - Societa' A Responsabilita' Limitata Detta Altrimenti  Cantina Borgo Boschetto   Cantina San Lorenzo  Villa Folini  Bosco Del Tiglio  Cantina Le Magnolie Oppure Ma.Sco.,Agip Eni,Statale 56 Di Gorizia  Km. 28+592  Dir. Gorizia 34070,34070,San Lorenzo Isontino,2018-04-09,,
,19689,45.80554415068716,13.509249463677406,,Bernardi Di Bernardi G. & C. S.N.C.,Agip Eni,Via Trieste 47 34079,34079,Staranzano,2018-04-09,,
,11977,45.80299318358325,13.484843373298645,,Mav Forniture S.R.L.,Costantin,Via San Canciano 11 34079,34079,Staranzano,2018-04-09,,
,30039,45.817750452960105,13.437718972563744,,Azzalini Mario & C. - S.A.S.,Oil Italia,Via Xxv Aprile 31 34070,34070,Turriaco,2018-04-09,,
,4803,46.163629181193734,12.794137001037598,,Da Prat Antonio,Agip Eni,Statale 464 Di Spilimbergo  Km. 7 592  Dir. Udine,Udine,Arba,2018-04-09,,
,19502,46.03802021298683,12.614216439083862,,Gi.Mi S.N.C. Di Dall'Acqua Giancarlo & C.,Agip Eni,Via Antonio Da Pordenone 97 33081,33081,Aviano,2018-04-09,,
,9001,46.06301566518978,12.597664688885516,,Servizi & Gestioni Italia S.R.L.,Q8,Via Pordenone 63 33081,33081,Aviano,2018-04-09,,
,24870,46.05197636357924,12.602442045538282,,Querenghi Antonio,Agip Eni,Via Pordenone 48/B  33081,33081,Aviano,2018-04-09,,
,35407,46.068372055597685,12.586581667493874,,Reva Srl,Loro,Via Sacile 22 33081,33081,Aviano,2018-04-09,,
,29947,46.051331788247204,12.603169083595275,,Omen Di Costabile Enzo & C. S.A.S.,Esso,Strada Provinciale 7 Km 6+874 33081,33081,Aviano,2018-04-09,,
,22639,46.05767590163062,12.600494921207428,,Posocco Angelo,Agip Eni,Via Pordenone 44 33081,33081,Aviano,2018-04-09,,
,21045,46.093772501918956,12.59566526587696,,Ule' De Riva Di Mellina-Gottardo Sara,Api-Ip,Via Trieste 59 33081,33081,Aviano,2018-04-09,,
,22076,45.89170327979402,12.696917122338846,,Conad Grigoletti S.R.L.,Conad,Via Ilaria Alpi 5  33082,33082,Azzano Decimo,2018-04-09,,
,4560,45.88026317918445,12.720024865081768,,Donadel Carburanti Di Donadel Ermanno & C. S.N.C.,Agip Eni,Statale 251 Della Val Di Zoldo E Val Cellina  Km. 15  Dir. Pordenone 33082,33082,Azzano Decimo,2018-04-09,,
,14088,45.899561347056874,12.67177058650816,,Officina Callegher Di Callegher Ivan & C. S.N.C.,Api-Ip,Via Corva 62 33082,33082,Azzano Decimo,2018-04-09,,
,17515,45.86581205881334,12.733572952639747,,Porricelli Emilio,Tamoil,Via Valler 21 33082,33082,Azzano Decimo,2018-04-09,,
