39889;NAUTILUS MARINE S.R.L.;Pompe Bianche;35.86358;12.85239
24796;PETROL SERVICE LAMPEDUSA S.R.L.;Pompe Bianche;35.49956;12.60647
12369;DI BENEDETTO CARBURANTI S.R.L.;Esso;37.11150;13.92160
27202;ALAIMO AMEDEO ANGELO;Esso;37.10265;13.94013
12667;LIOTTA MARIA ROSA E CO. S.A.S.;Agip Eni;37.10983;13.95174
20954;DE CARO AGOSTINO;Esso;37.11469;13.95988
11336;GRACI ROSARIO;Giap;37.10336;13.94062
37083;SICILPETROLI S.R.L.;Pompe Bianche;37.12049;13.94675
8898;RADOSTA CARBURANTI DI FILIPPO RADOSTA E C.-S.A.S.;Q8;37.59077;13.29104
42514;ALFONSO DI BENEDETTO CARBURANTI LUBRIFICANTI SRL;Pompe Bianche;37.60656;12.95824
42301;BONFANTE ANTONINO;Agip Eni;37.60303;12.96009
27408;BONFANTE ANTONINO;Agip Eni;37.59580;12.97282
25814;PETROL AGRICOLTURA  S.R.L.;Esso;37.70592;12.98098
14967;SCIROTTA  S.A.S. DI ACCIDENTI GIUSEPPE;Q8;37.70349;12.99123
15744;CAMMARATA RENATO;Pompe Bianche;37.30516;13.91543
28246;PACINELLA CALOGERO;Q8;37.29483;13.79223
12021;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;37.29438;13.79568
14343;CATANIA NICOLA;Agip Eni;37.18920;13.77120
27393;INCARDONA S.R.L.;Pompe Bianche;37.18340;13.76892
17121;SINAGRA PAOLO;Esso;37.28913;13.53038
33237;NUARA PASQUALE;Agip Eni;37.29374;13.50856
41700;STAZIONE DI SERVIZIO ESSO DI GIUFFRIDA IGNAZIO E C. S.N.C.;Esso;37.29408;13.52747
16610;MORREALE VINCENZO;Q8;37.40828;13.70417
35504;RIZZO CONCETTA;Q8;37.40381;13.73873
18601;MATTINA GIUSEPPE;Tamoil;37.41100;13.72847
10302;ANGELO CUFFARO S.R.L.;Esso;37.39379;13.53236
10299;CUFFARO ANGELO;Esso;37.39707;13.53481
9373;ALONGE LUIGI & C. S.A.S. DI ALONGE GERLANDO;Q8;37.39039;13.53224
13200;"F.LLI LA MARCA S.A.S. DI LA MARCA GIROLAMO E CALOGERO & C.";Agip Eni;37.26516;13.97030
32155;EUROIL S.R.L.S.;Pompe Bianche;37.26385;13.95851
16232;LA MARCA SALVATORE & C. S.N.C.;Pompe Bianche;37.26478;13.97092
33436;DAINA PALERMO GIOVANNI;Agip Eni;37.33128;13.43099
33762;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;37.31231;13.46667
26796;F.LLI TURANO S.A.S. DI TURANO GIOACCHINO  & C.;Agip Eni;37.49449;13.26387
21179;COCCHIARA ALESSANDRA & C. S.A.S.;Esso;37.50188;13.26314
22548;"MARABELLA S.A.S DI MARABELLA ANGELO & C.";Q8;37.49379;13.26482
21565;"MARABELLA S.A.S DI MARABELLA ANGELO & C.";Q8;37.50503;13.27382
26904;RIBERA 96  S.A.S. DI  MICELI  ANNA  &  C.;Agip Eni;37.49844;13.26865
20966;LO RASO STEFANIA;Esso;37.49812;13.25872
9474;MAGGIO ANTONIO;Esso;37.64463;13.10720
9989;GANDOLFO MICHELE;Agip Eni;37.64475;13.10755
24719;CAPODICASA SALVATORE;Pompe Bianche;37.51038;13.52653
12558;PANEPINTO SALVATORE;Esso;37.62758;13.63998
27728;MARINO CALOGERA;Agip Eni;37.69016;13.02274
35501;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Giap;37.62676;13.48897
9049;M.G. DI GIAMBARTINO FILIPPO E C.-S.N.C.;Api-Ip;37.63251;13.47530
38277;VEVIN  SOCIETA' A   RESPONSABILITA' LIMITATA;Q8;37.62606;13.49407
20045;SERVIZI E GESTIONI ZENIT S.R.L. IN SIGLA - ZENIT S.R.L.;Agip Eni;37.50804;13.05228
41635;CURRERI CARBURANTI S.R.L.;Curreri Carburanti;37.51031;13.06694
15841;DI. GA.  DI DI PAOLA MARIO & C. S.N.C.;Q8;37.52361;13.07382
18418;PETROLI SCIACCA DI MAGGIO ACCURSIO & C. S.A.S.;Agip Eni;37.50629;13.09003
42114;IDROCARBURI SCIACCA S.A.S. DI IGNAZIO SANTANGELO & C.;Agip Eni;37.51572;13.07749
42190;IDROCARBURI SCIACCA S.A.S. DI IGNAZIO SANTANGELO & C.;Agip Eni;37.50799;13.07384
8844;CUSUMANO CARBURANTI S.A.S. DI STEFANO CUSUMANO & C.;Agip Eni;37.55336;13.04345
13459;CUSUMANO CARBURANTI S.A.S. DI STEFANO CUSUMANO & C.;Agip Eni;37.51571;13.07749
13471;CUSUMANO CARBURANTI S.A.S. DI STEFANO CUSUMANO & C.;Agip Eni;37.50798;13.07387
16376;TRIPODI FRANCESCO;Esso;37.51740;13.07675
20789;LO RASO ANTONINO;Esso;37.50886;13.07763
12200;SCIACCA OIL DI LA PORTA MARIA;TaOil;37.52009;13.07728
36419;F.LLI PIRRERA DI PIRRERA SALVATORE E PIRRERA ANGELO-S.N.C.;Pompe Bianche;37.33632;13.42570
29421;T.D.M. S.R.L.;Tamoil;44.67314;8.47737
30244;"IP SERVICES S.R.L.";Api-Ip;44.67309;8.46631
6407;SERVIZI & GESTIONI ITALIA srl;Q8;44.67637;8.45973
39340;BERTORA CINZIA;Retitalia;44.67920;8.45137
10022;COLLINO E C.- S.P.A.;Pompe Bianche;44.66896;8.45892
39625;L'OASI  S.A.S. DI BARONE SALVATORE & C.;Agip Eni;44.66494;8.47287
32191;FRATELLI OLIVIERI BRUNO E RICCARDO S.N.C.;Api-Ip;44.66345;8.46825
39621;BARONE SALVATORE;Agip Eni;44.66902;8.48122
39620;BARONE SALVATORE;Pompe Bianche;44.66902;8.48122
38859;BERRY SERVICE DI PONZANO MAURIZIO;Oil Italia;44.67633;8.46322
25112;BECCARIA S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA;Q8;44.67580;8.44641
34628;SEVERINO MASSIMO;Agip Eni;44.68022;8.47289
34629;SEVERINO MASSIMO;Agip Eni;44.67657;8.46470
30525;T.D.M. S.R.L.;Tamoil;44.89692;8.58731
34364;T.D.M. S.R.L.;Tamoil;44.90697;8.61146
5512;GESTIONI EUROPA S.p.A.;Total Erg;44.91993;8.59504
7292;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.90220;8.63087
30831;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.89381;8.67209
38868;"IP SERVICES S.R.L.";Api-Ip;44.88638;8.61541
20730;GESTIONI EUROPA - SOCIETA' PER AZIONI;Total Erg;44.89126;8.58933
6405;SERVIZI & GESTIONI ITALIA srl;Q8;44.88843;8.59852
34564;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.91976;8.61313
4636;NUOVA SIDAP  S.R.L.;Esso;44.91930;8.59658
11454;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.92146;8.57931
29187;ACI-SERVIZI ALESSANDRIA S.R.L.;Api-Ip;44.91248;8.60801
40733;NEW TRUCK S.R.L.;Pompe Bianche;44.92151;8.55065
41250;E2OIL S.R.L.;Europam;44.87811;8.56985
41907;NEW TRUCK S.R.L.;Esso;44.90708;8.64128
38764;GARGANTINI GIANMARIO VITTORIO;Esso;44.90327;8.60633
37821;ALEGAS SRL;Pompe Bianche;44.92227;8.61504
31091;SPINNATO ALESSANDRO;Tamoil;44.90699;8.68893
6878;MAZZOLENI FEDERICO;Agip Eni;44.90949;8.63144
6879;MAZZOLENI FEDERICO;Agip Eni;44.92087;8.59285
7017;MAZZOLENI FEDERICO;Pompe Bianche;44.92087;8.59285
42510;ERRETRE S.R.L.;Pompe Bianche;44.89146;8.60160
42511;ERRETRE S.R.L.;Pompe Bianche;44.91899;8.59725
15622;NEW PETROL S.N.C. DI PACE LUIGI E SCIOMMARELLO SALVATORE;Esso;44.90917;8.63291
41694;EUROPAM S.P.A.;Europam;44.88479;8.71361
10587;QUINTO CABELLA DI MASSIMO E SERGIO CABELLA - S.N.C.;Agip Eni;44.91049;8.62814
10209;CARUGIA & ODDINO E C. S.N.C. DI CARUGIA MAURIZIO;Api-Ip;44.93263;8.62542
25683;MALFATTO MAURIZIO;Api-Ip;44.91015;8.62555
7101;LE 2 VELE DI NAPPO MARIA;Q8;44.92683;8.58605
35034;PASTORE BRUNA;Agip Eni;44.89613;8.66632
27276;B+B DI BONALDO GIANCARLO E C. S.A.S.;Agip Eni;44.90908;8.63602
29129;R&C DI FRONTINO NUNZIO;Esso;44.90360;8.64923
36526;NEW TRUCK S.R.L.;KEROPETROL;44.88965;8.68747
39241;STAZIONE ANDROMEDA DI VIVIAN LUCIANO & C. - S.N.C.;Agip Eni;44.90189;8.61922
22975;AN.GI DI ANTONIO LECCE S.A.S.;Api-Ip;44.91940;8.61233
27453;NEW ENERGY DI RRUSHI ERMIRA E C. S.N.C.;Agip Eni;44.93220;8.58518
10739;AL. BE. DI COSTA ALESSANDRO E C. S.N.C.;Agip Eni;44.90749;8.61848
40820;STOIL S.R.L.;Pompe Bianche;44.91796;8.70028
40629;CIPRIANO ROBERTO;Total Erg;44.88660;8.61483
38685;VALFUEL S.N.C. DI TIMPANARO CRISTIAN E RUSSO PAOLO GIUSEPPE;Total Erg;44.93864;8.62482
41249;E2OIL S.R.L.;Europam;44.90327;8.60633
14428;ELTA ALBERTO;Agip Eni;44.69143;8.88328
38708;CAVANNA ROBERTO;Total Erg;44.69868;8.88466
38637;VALENZA OMAR;Q8;44.68546;8.89020
3766;giemme sas di lanza luigi & c;Total Erg;44.67030;8.90602
41251;E2OIL S.R.L.;Europam;44.76953;8.70395
40641;FASCIOLO SIMONETTA MARIA;Pompe Bianche;44.76911;8.71439
7298;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;44.62794;8.65241
3535;vignolo e garbarino s.n.c.;Total Erg;44.59237;8.66614
38882;TIGER S.R.L.;Esso;44.59159;8.66451
25114;BECCARIA S.R.L. - SOCIETA' A RESPONSABILITA' LIMITATA;Q8;44.65863;8.37517
34974;KEROPETROL S.P.A.;KEROPETROL;44.72837;8.93451
38590;EASY SERVICE S.R.L.;Energas;44.83472;8.73730
37888;BENZOIL SOCIETA' A RESPONSABILITA' LIMITATA SEMPLIFICATA;Pompe Bianche;44.67405;9.09422
8685;MORANDO CELESTINA;Tamoil;44.72667;9.03708
26208;BERTA GABRIEL;Agip Eni;45.11101;8.45149
33254;3D S.R.L.;Tamoil;45.10823;8.45165
5125;TROVATO GIUSEPPE;Agip Eni;45.12960;8.47554
5511;GESTIONI EUROPA S.p.A.;Total Erg;45.11832;8.45573
6404;SERVIZI & GESTIONI ITALIA srl;Q8;45.14829;8.44424
11452;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;45.12377;8.45124
7288;SERVIZI & GESTIONI ITALIA S.R.L.;Q8;45.12286;8.46431
37632;COSTANTIN DISTRIBUZIONE E SERVIZI SRL;Costantin;45.14750;8.44419
39839;RICCOBONO ALESSIA;Agip Eni;45.16260;8.46034
31127;CASADEI MASSIMO;Esso;45.10779;8.43796
